236.669  115.513: opening buffers
316.453  049.122: BufEnter autocommands
135.457  000.185  000.185: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/extensions/searchcount.vim
075.910  000.183  000.183: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/plugin/AutoSave.vim
314.045  000.182  000.182: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/profile.vim
268.244  000.180  000.180: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern/Vim/Window/Cursor.vim
285.927  000.173  000.173: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/glyph_palette.vim
034.023  000.167  000.167: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/syntax/synload.vim
264.606  000.167  000.167: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/nerdfont/path/basename.vim
092.715  000.164  000.164: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/glyph_palette/defaults.vim
104.923  000.163  000.163: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/plugin/tohtml.vim
079.935  000.160  000.160: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern/Config.vim
081.917  000.156  000.156: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern/Async/Later.vim
255.023  000.156  000.156: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern/System/Job.vim
104.092  000.146  000.146: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/plugin/shada.vim
264.061  000.146  000.146: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/nerdfont/path/pattern.vim
248.454  000.145  000.145: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/internal/buffer.vim
071.506  000.144  000.144: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/parts.vim
271.433  000.144  000.144: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/mapping/filter.vim
270.884  000.143  000.143: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/mapping/drawer.vim
253.596  000.141  000.141: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern/Data/List/Chunker.vim
078.369  000.139  000.139: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/plugin/fern.vim
134.782  000.136  000.136: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/extensions/keymap.vim
082.749  000.133  000.133: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/plugin/fern_hijack.vim
119.834  000.129  000.129: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/section.vim
032.203  000.126  000.126: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/ftdetect/ftdetect.vim
117.418  000.125  000.125: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/extensions/quickfix.vim
300.819  000.124  000.124: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern_preview.vim
038.587  000.123  000.123: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/dracula.vim
249.684  000.123  000.123: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/internal/viewer/auto_duplication.vim
242.040  000.122  000.122: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/fri/from.vim
282.202  000.122  000.122: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/scheme/file/mapping/yank.vim
275.710  000.120  000.120: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/mapping/yank.vim
251.613  000.118  000.118: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/internal/scheme.vim
097.033  000.115  000.115: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/quickhl.vim
266.702  000.114  000.114: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/comparator/default.vim
267.156  000.114  000.114: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/helper.vim
282.680  000.114  000.114: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/scheme/file/mapping/preview.vim
287.152  000.114  000.114: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/ftplugin/fern.vim
263.592  000.108  000.108: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/nerdfont.vim
082.516  000.106  000.106: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/plugin/fern_git_status.vim
097.804  000.101  000.101: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/plugin/rust.vim
033.322  000.100  000.100: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/indent.vim
099.908  000.099  000.099: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/plugin/man.vim
261.540  000.099  000.099: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/fri/to.vim
250.181  000.096  000.096: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/internal/viewer/hide_cursor.vim
118.507  000.093  000.093: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/extensions/netrw.vim
076.114  000.092  000.092: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/plugin/cargo.vim
118.948  000.090  000.090: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/extensions/fzf.vim
014.551  000.084  000.084: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/Shougo/dein.vim/autoload/dein/min.vim
006.614  000.082: inits 2
072.061  000.075  000.075: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/formatter/short_path.vim
094.222  000.070  000.070: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/indent_blankline.vim
011.759  000.066: init screen for UI
