

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

315.204  000.253  000.253: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/after/plugin/cmp_path.lua
315.870  000.436  000.436: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/cmp-tabnine/after/plugin/cmp-tabnine.lua
315.897  002.086: loading after plugins
315.909  000.011: inits 3
319.942  004.033: reading ShaDa
329.332  001.024  001.024: sourcing /usr/local/share/nvim/runtime/syntax/lua.vim
330.023  004.549  003.524: sourcing /usr/local/share/nvim/runtime/syntax/vim.vim
332.961  002.824  002.824: sourcing /usr/local/share/nvim/runtime/syntax/vim/generated.vim
333.135  000.076  000.076: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/after/syntax/vim.vim
334.367  000.310  000.310: sourcing /usr/local/share/nvim/runtime/ftplugin/vim.vim
336.025  000.167  000.167: sourcing /usr/local/share/nvim/runtime/indent/vim.vim
336.681  000.391  000.391: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions.vim
336.880  000.090  000.090: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/quickfix.vim
337.121  000.061  000.061: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/gina.vim
337.321  000.067  000.067: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/netrw.vim
337.517  000.071  000.071: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/fzf.vim
338.046  000.100  000.100: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/section.vim
338.504  000.262  000.262: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/highlighter.vim
338.915  001.144  000.781: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/term.vim
339.302  000.136  000.136: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/hunks.vim
339.931  000.390  000.390: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/branch.vim
340.292  000.097  000.097: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/nvimlsp.vim
340.644  000.178  000.178: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/whitespace.vim
340.954  000.102  000.102: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/po.vim
341.225  000.144  000.144: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/wordcount.vim
341.676  000.320  000.320: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/tabline.vim
341.960  000.111  000.111: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/tabline/autoshow.vim
342.456  000.159  000.159: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/tabline/tabs.vim
342.791  000.220  000.220: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/tabline/buffers.vim
343.127  000.076  000.076: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/keymap.vim
343.501  000.090  000.090: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/searchcount.vim
352.407  000.106  000.106: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/themes.vim
354.012  001.983  001.877: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/themes/dracula.vim
361.269  001.648  001.648: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/themes/dracula.vim
393.432  000.265  000.265: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/builder.vim
394.219  000.135  000.135: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/default.vim
447.347  000.091  000.091: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/fzf_preview/remote/mr.vim
448.019  000.106  000.106: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/fzf_preview/remote/util.vim
467.911  131.970: opening buffers
605.725  000.213  000.213: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/vim-gitgutter/autoload/gitgutter.vim
606.164  138.040: BufEnter autocommands
606.172  000.008: editing files in windows
618.516  000.148  000.148: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/denops/util.vim
618.765  000.526  000.378: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/denops/server.vim
619.009  000.101  000.101: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/denops/job.vim
657.424  000.847  000.847: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/fzf_preview.vim
658.662  000.965  000.965: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_fzf_preview/Async/Promise.vim
658.953  000.121  000.121: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_fzf_preview.vim
659.849  000.388  000.388: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_fzf_preview/Async/Later.vim
661.215  000.588  000.588: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_fzf_preview/VS/RPC/JSON.vim
662.286  000.758  000.758: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_fzf_preview/VS/System/Job.vim
662.830  000.276  000.276: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_fzf_preview/VS/Event/Emitter.vim
663.157  002.883  001.261: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/fzf_preview/rpc/server.vim
663.469  007.075  001.872: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/fzf_preview/rpc.vim
667.210  053.335: VimEnter autocommands
667.214  000.004: UIEnter autocommands
667.826  000.399  000.399: sourcing /usr/local/share/nvim/runtime/autoload/provider/clipboard.vim
667.847  000.233: before starting main loop
668.811  000.287  000.287: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/tabline/ctrlspace.vim
670.625  001.667  001.667: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/tabline/tabws.vim
671.445  000.325  000.325: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/tabline/builder.vim
671.776  000.118  000.118: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/tabline/buflist.vim
676.173  000.078  000.078: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/vim-devicons/autoload/airline/extensions/tabline/formatters/webdevicons.vim
676.559  000.178  000.178: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/extensions/tabline/formatters/default.vim
708.514  000.471  000.471: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/vim-gitgutter/autoload/gitgutter/hunk.vim
709.427  000.389  000.389: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/gina.vim
715.219  000.177  000.177: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/__gina__/Git.vim
717.763  000.169  000.169: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina/Text/INI.vim
718.036  000.096  000.096: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina.vim
718.666  000.354  000.354: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina/System/Filepath.vim
719.681  000.473  000.473: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina/Data/String.vim
721.032  000.548  000.548: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina/Data/List.vim
724.418  000.148  000.148: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/__gina__/System/Store.vim
728.011  000.164  000.164: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina/Config.vim
728.399  000.801  000.637: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/gina.vim
728.522  019.657  016.503: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/gina/component/repo.vim
729.090  000.179  000.179: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina/System/Cache/Memory.vim
729.585  000.200  000.200: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina/System/Cache/Base.vim
730.449  000.566  000.566: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina/Prelude.vim
731.400  002.749  001.805: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/gina/core.vim
732.249  000.385  000.385: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina/Vim/Buffer.vim
732.924  000.299  000.299: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina/Vim/Guard.vim
733.719  000.227  000.227: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina/Data/Dict.vim
734.362  000.257  000.257: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina/Vim/Type.vim
735.190  000.185  000.185: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina/Vim/Buffer/Opener.vim
735.793  000.258  000.258: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina/Vim/BufferManager.vim
736.503  000.164  000.164: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina/Vim/Window.vim
736.905  005.304  003.529: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/gina/core/buffer.vim
749.311  000.344  000.344: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/airline/async.vim
762.224  000.403  000.403: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/vital/_gina/Vim/Console.vim
763.021  001.806  001.403: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/gina/core/console.vim
769.672  068.842: first screen update
769.675  000.003: --- NVIM STARTED ---
